host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883805.075673,14:30:05.075,9260,130.725,0.38,34722.89,504084.481,-1542868.48,-704642.678,-318767.103,0.001,26.624,-0.001,-4.097,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883805.181233,14:30:05.181,9263,95.537,24.82,1010.28,0.47,0.49,-0.153,-0.013,-30.298,0.038,-1.119,0.052,-18.431,2.827,455.68,-235.43,3.94,0,214,1,0.0
1782883805.181278,14:30:05.181,9264,96.026,0.0,42949671.43,-0.017,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-7.168,0.01,-294.4,-0.01,255,218,255,-0.01
1782883805.181294,14:30:05.181,9265,130.775,0.38,34722.89,504084.481,-1542868.48,-704642.678,-486539.263,0.001,-29.44,-0.001,-11.009,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883805.181608,14:30:05.181,9268,95.588,24.82,1010.28,0.47,0.48,-0.116,-0.023,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883805.181624,14:30:05.181,9269,96.067,0.0,42949671.8,0.013,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-8.96,0.01,-222.72,-0.01,255,243,255,-0.01
1782883805.181636,14:30:05.181,9270,130.826,0.38,34722.89,504084.481,-1542868.48,-704642.678,-603979.775,0.001,-22.272,-0.001,-8.961,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883805.287697,14:30:05.287,9273,95.638,24.82,1010.28,0.47,0.474,-0.088,-0.011,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883805.287732,14:30:05.287,9274,96.111,0.0,42949672.08,0.005,2525.606,3472.289,336312.321,-20.224,-23.799,0.394,11.52,0.002,-4.608,0.01,291.84,0.01,0,5,0,0.0
1782883805.287744,14:30:05.287,9275,130.876,0.38,202495.05,503825.665,-1559645.952,754975.114,-251658.238,0.001,29.184,0.001,-6.4,-0.001,-22.785,98.65,-243.2,135.63,1,1,7,102.51
1782883805.288042,14:30:05.288,9278,95.688,24.81,1010.27,0.557,0.505,0.369,-0.017,-30.298,0.038,-1.119,0.308,-3.583,2.57,453.12,-237.99,3.94,0,45,2,0.0
1782883805.288054,14:30:05.288,9279,96.196,0.0,3.69,-0.013,2525.606,20249.505,336258.561,-20.224,-23.799,0.394,11.52,0.002,2.304,0.02,53.76,0.01,0,239,255,-0.01
1782883805.288063,14:30:05.288,9280,130.926,0.38,202495.05,503905.281,-1559645.952,754975.114,201326.594,0.002,5.376,0.001,1.28,0.0,-23.04,98.65,-243.2,135.63,1,1,231,102.5
1782883805.393211,14:30:05.393,9283,95.738,24.81,1010.27,0.557,0.529,0.276,-0.023,-30.298,0.038,-1.119,0.308,-10.751,2.57,453.12,-237.99,3.94,0,45,2,0.0
1782883805.393449,14:30:05.393,9284,96.27,0.0,2.76,-0.017,2525.606,20249.505,336252.417,-20.224,-23.799,0.394,11.52,0.002,6.912,0.02,-125.44,0.0,0,230,255,-0.01
1782883805.393469,14:30:05.393,9285,130.976,0.38,202495.05,503961.857,-1559645.952,754975.114,486539.266,0.002,-12.544,0.0,-4.864,-0.001,-22.785,98.65,-243.2,135.63,1,1,213,102.5
